strFullTimeStamp;strTimeStampDay;strInstanceName;strHash;numResources;dbMaxX;dbMaxY;iNumThreads;numTasks_UP;dbTasksDensity_UP;numSolutionsFound_UP;dblExecutionTime_UP;iTotServiced_UP;iTotUnserviced_UP;iNumVehiclesUsed_UP;dbTimeWinViolation_UP;dbOperationTime_UP;dbServiceTime_UP;dbWaitingTime_UP;dbTransportTime_UP;dbTotalCosts_UP;dbTraveledDistance_UP;numTasks_P;dbTasksDensity_P;numSolutionsFound_P;dblExecutionTime_P;iTotServiced_P;iTotUnserviced_P;iNumVehiclesUsed_P;dbTimeWinViolation_P;dbOperationTime_P;dbServiceTime_P;dbWaitingTime_P;dbTransportTime_P;dbTotalCosts_P;dbTraveledDistance_P;dbAbsExecTimeDiff;dbPerExecTimeDiff;dbAbsSrvcdTasksDiff;dbPerSrvcdTasksDiff;dbPrecision;dbRecall;dbAbsCorrectlyClassified;dbPerCorrectlyClassified;dbAbsUncorrectlyClassified;dbPerUncorrectlyClassified
08/01/2018 20.07.09;08/01/2018;output/Batch10_100_d01/DS_100_10_0.xml;d9a73071;10;0,0;0,0;24;100;Infinity;2;9,007;84;16;10;0,0;5031,54899110362;0,0;0,0;520,5489911036201;1353,427376869412;520,54899110362;100;Infinity;2;7,138;84;16;10;0,0;4996,561957108241;0,0;0,5207596764543041;472,0411974317858;1227,3071133226417;472,04119743178524;-1,8689999999999998;-0,20750527367602975;0,0;0,0;0,7056;0,84;84,0;84,0;16,0;16,0
08/01/2018 20.07.23;08/01/2018;output/Batch10_100_d01/DS_100_10_1.xml;b041ae52;10;0,0;0,0;24;100;Infinity;2;6,895;90;10;10;0,0;5589,695289149721;0,0;45,829392556706296;532,8658965930151;1065,7317931860312;532,8658965930156;100;Infinity;2;6,915;91;9;10;0,0;5578,534603320495;0,0;1,6908817988655755;531,8437215216306;1010,5030708910987;531,8437215216309;0,020000000000000462;0,0029006526468456076;1,0;0,011111111111111112;0,81;0,9;90,0;90,0;10,0;10,0
08/01/2018 20.07.37;08/01/2018;output/Batch10_100_d01/DS_100_10_2.xml;8036ca0d;10;0,0;0,0;24;100;Infinity;2;7,013;82;18;10;0,0;5151,359514877924;0,0;0,0;469,359514877925;1314,2066416581902;469,35951487792505;100;Infinity;2;6,675;83;17;10;0,0;5129,3316443305175;0,0;4,817741458277737;469,51390287223865;1267,687537755043;469,51390287223813;-0,3380000000000001;-0,048196207044061044;1,0;0,012195121951219513;0,6724;0,82;82,0;82,0;18,0;18,0
08/01/2018 20.07.51;08/01/2018;output/Batch10_100_d01/DS_100_10_3.xml;c15a5737;10;0,0;0,0;24;100;Infinity;2;6,758;87;13;10;0,0;5196,868830631676;0,0;8,305599698784363;540,5632309328917;1243,2954311456497;540,5632309328912;100;Infinity;2;7,262;88;12;10;0,0;5279,884858872782;0,0;0,0;525,884858872782;1156,9466895201194;525,8848588727815;0,5039999999999996;0,07457827759692211;1,0;0,011494252873563218;0,7744;0,88;88,0;88,0;12,0;12,0
08/01/2018 20.08.06;08/01/2018;output/Batch10_100_d01/DS_100_10_4.xml;59eb0ea2;10;0,0;0,0;24;100;Infinity;2;6,911;86;14;10;0,0;5169,114218645101;0,0;42,200208385374935;487,9140102597257;1170,9936246233406;487,9140102597252;100;Infinity;2;6,735;85;15;10;0,0;5169,451259037835;0,0;35,75111172872198;474,7001473091133;1186,7503682727847;474,7001473091139;-0,17599999999999927;-0,025466647373751886;-1,0;-0,011627906976744186;0,7395999999999999;0,86;86,0;86,0;14,0;14,0
08/01/2018 20.08.20;08/01/2018;output/Batch10_100_d01/DS_100_10_5.xml;1e224d93;10;0,0;0,0;24;100;Infinity;2;6,762;87;13;10;0,0;5369,083444480742;0,0;0,0;485,08344448074297;1115,6919223057102;485,0834444807436;100;Infinity;2;7,234;87;13;10;0,0;5394,704820970885;0,0;2,9423727186548376;498,7624482522293;1147,1536309801272;498,7624482522292;0,4720000000000004;0,06980183377698912;0,0;0,0;0,7569;0,87;87,0;87,0;13,0;13,0
08/01/2018 20.08.36;08/01/2018;output/Batch10_100_d01/DS_100_10_6.xml;dc6580b9;10;0,0;0,0;24;100;Infinity;2;8,398;81;19;10;0,0;5118,5169183785565;0,0;24,433348754091867;455,08356962446396;1319,7423519109436;455,08356962446334;97;Infinity;2;6,502;81;16;10;0,0;5103,590253147023;0,0;2,3886564600586553;487,2015966869647;1266,7241513861077;487,2015966869645;-1,896;-0,22576804000952608;0,0;0,0;0,6350515463917525;0,77;77,0;77,0;23,0;23,0
08/01/2018 20.08.49;08/01/2018;output/Batch10_100_d01/DS_100_10_7.xml;edda2b67;10;0,0;0,0;24;100;Infinity;2;6,845;83;17;10;0,0;5269,861612372702;0,0;0,6370948111509733;532,224517561551;1437,0061974161881;532,2245175615511;93;Infinity;2;5,493;81;12;10;0,0;5309,76782849568;0,0;14,174219594732449;558,5936089009487;1228,9059395820868;558,5936089009485;-1,3519999999999994;-0,19751643535427313;-2,0;-0,024096385542168676;0,6612903225806451;0,75;75,0;75,0;25,0;25,0
08/01/2018 20.09.02;08/01/2018;output/Batch10_100_d01/DS_100_10_8.xml;553ec4cb;10;0,0;0,0;24;100;Infinity;2;7,451;82;18;10;0,0;5320,739736381937;0,0;26,532638738224932;473,2070976437127;1324,9798734023952;473,2070976437126;100;Infinity;2;7,171;82;18;10;0,0;5290,859237584566;0,0;40,84402058396222;477,0152170006028;1335,6426076016878;477,0152170006028;-0,27999999999999936;-0,03757884847671445;0,0;0,0;0,6724;0,82;82,0;82,0;18,0;18,0
08/01/2018 20.09.17;08/01/2018;output/Batch10_100_d01/DS_100_10_9.xml;7a7cc66c;10;0,0;0,0;24;100;Infinity;2;7,073;80;20;10;0,0;5259,138461228187;0,0;30,9450762688125;466,1933849593737;1398,580154878122;466,19338495937393;100;Infinity;2;6,994;80;20;10;0,0;5222,417113068483;0,0;12,960564600867201;485,4565484676157;1456,369645402846;485,4565484676153;-0,07900000000000063;-0,011169235119468489;0,0;0,0;0,6561;0,81;81,0;81,0;19,0;19,0
