Task_id;closestDist;farestDist;avgDist;stvDist;mdnDist;timWind;srvTime;blTWB[0];blTWB[1];blTWB[2];blTWB[3];blTWB[4];blTWB[5];blTWB[6];blTWB[7];blTWB[8];blTWB[9];blTWB[10];blTWB[11];blTWB[12];blTWB[13];blTWB[14];blTWB[15];blTWB[16];blTWB[17];blTWB[18];blTWB[19];blTWB[20];blTWB[21];blTWB[22];blTWB[23];perResUnav;perResWSkills;blServiced
0;0,01;0,87;0,26;0,15;0,25;0,23;0,26;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;0;0;0;0;0;0;0;0;0;1;1
1;0;0,88;0,27;0,15;0,26;0,21;0,14;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0,68;1
2;0;0,87;0,29;0,15;0,29;0,18;0,27;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0,76;1
3;0,01;0,86;0,28;0,15;0,27;0,19;0,15;0;0;0;0;0;0;0;0;0;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0,6;1
4;0,01;0,83;0,26;0,14;0,25;0,21;0,13;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;0;0;0;0;0;0;0;0;0,14;1
5;0,01;0,85;0,28;0,15;0,27;0,27;0,21;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0,34;0
6;0;0,83;0,27;0,14;0,27;0,25;0,11;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0,68;1
7;0,02;0,78;0,46;0,13;0,46;0,24;0,21;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0,6;1
8;0,02;0,77;0,45;0,13;0,44;0,32;0,09;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0;0;0,6;1
9;0,02;0,99;0,45;0,15;0,45;0,35;0,14;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0;0;0,84;1
10;0,02;0,98;0,44;0,15;0,44;0,22;0,14;0;0;0;0;0;0;0;0;0;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0,34;1
11;0,02;0,73;0,37;0,12;0,37;0,3;0,17;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;0;0;0;0;0;0;0;1;1
12;0,02;0,72;0,36;0,12;0,36;0,24;0,12;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;0;0;0;0;0;0;0;0,68;1
13;0,01;0,92;0,35;0,16;0,34;0,19;0,26;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0,39;1
14;0,01;0,86;0,24;0,15;0,22;0,33;0,09;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;1;1
15;0,01;0,63;0,21;0,1;0,21;0,17;0,16;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;1;1
16;0,01;0,77;0,23;0,13;0,21;0,36;0,16;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0,68;1
17;0,01;0,61;0,26;0,11;0,27;0,35;0,08;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;0;0;0;0;0,39;1
18;0,01;0,91;0,29;0,16;0,28;0,24;0,19;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0,2;1
19;0,01;0,85;0,25;0,15;0,23;0,26;0,19;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0,6;1
20;0,01;0,94;0,3;0,17;0,28;0,29;0,17;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;0;0;0;0;0;0;1;1
21;0;0,86;0,25;0,15;0,24;0,22;0,11;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0,39;1
22;0,01;0,91;0,29;0,16;0,29;0,25;0,1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;0;0;0;0;0;0;0;0,34;1
23;0;0,92;0,32;0,17;0,31;0,17;0,35;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1
24;0;0,61;0,23;0,1;0,23;0,35;0,1;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0,76;1
25;0,02;0,78;0,3;0,13;0,29;0,26;0,21;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0,47;1
