strFullTimeStamp;strTimeStampDay;strInstanceName;strHash;numResources;dbMaxX;dbMaxY;iNumThreads;numTasks_UP;dbTasksDensity_UP;numSolutionsFound_UP;dblExecutionTime_UP;iTotServiced_UP;dbTraveledDistance_UP;dbCompletionTime_UP;dbWaitingTime_UP;dbTotalCosts_UP;numTasks_P;dbTasksDensity_P;numSolutionsFound_P;dblExecutionTime_P;iTotServiced_P;dbTraveledDistance_P;dbCompletionTime_P;dbWaitingTime_P;dbTotalCosts_P;dbAbsExecTimeDiff;dbPerExecTimeDiff;dbAbsSrvcdTasksDiff;dbPerSrvcdTasksDiff;dbPrecision;dbRecall;dbAbsCorrectlyClassified;dbPerCorrectlyClassified;dbAbsUncorrectlyClassified;dbPerUncorrectlyClassified
08/01/2018 15.52.23;08/01/2018;output/Batch10_100_d001/DS_100_10_batch0.xml;e51bc494;10;100,0;100,0;24;100;0,01;2;9,207;73;1074,2576923533395;5361,483618576012;34,22592622267268;3974,753461707356;75;0,0075;2;3,79;73;1047,08095687124;5302,6816774217505;12,600720550510118;1256,497148245488;-5,417000000000001;-0,5883566851308787;0,0;0,0;0,7469333333333332;0,75;75,0;75,0;25,0;25,0
08/01/2018 15.52.34;08/01/2018;output/Batch10_100_d001/DS_100_10_batch1.xml;363eca8c;10;100,0;100,0;24;100;0,01;2;6,394;75;1099,1293809073304;5230,724254079478;51,594873172147516;3846,952833175657;70;0,007;2;3,242;70;987,1648492886375;4904,099855732924;192,93500644428656;987,1648492886375;-3,152;-0,4929621520175164;-5,0;-0,06666666666666667;0,7869047619047619;0,77;77,0;77,0;23,0;23,0
08/01/2018 15.52.44;08/01/2018;output/Batch10_100_d001/DS_100_10_batch2.xml;938fd47a;10;100,0;100,0;24;100;0,01;2;6,548;76;1072,1280587898289;5526,128058789829;0,0;3645,235399885418;73;0,0073;2;3,366;73;978,5467404351507;5200,011037135157;43,46429670000464;978,5467404351507;-3,182;-0,4859499083689676;-3,0;-0,039473684210526314;0,7275494672754946;0,72;72,0;72,0;28,0;28,0
08/01/2018 15.52.54;08/01/2018;output/Batch10_100_d001/DS_100_10_batch3.xml;d7b15158;10;100,0;100,0;24;100;0,01;2;6,005;72;1040,4592139075498;5198,955477881688;10,496263974137946;3953,7450128486894;78;0,0078;2;3,743;69;1064,4035906574422;5165,403590657441;0,0;2022,3668222491403;-2,262;-0,3766860949208993;-3,0;-0,041666666666666664;0,6811188811188811;0,7;70,0;70,0;30,0;30,0
08/01/2018 15.53.04;08/01/2018;output/Batch10_100_d001/DS_100_10_batch4.xml;c3ccc8b5;10;100,0;100,0;24;100;0,01;2;6,19;76;972,8364257302978;5243,422292892272;41,58586716197374;3307,643847483013;86;0,0086;2;4,491;77;1059,3150569357501;5241,561857924953;7,2468009892022565;2012,6986081779253;-1,6990000000000007;-0,27447495961227797;1,0;0,013157894736842105;0,7037873754152824;0,74;74,0;74,0;26,0;26,0
08/01/2018 15.53.15;08/01/2018;output/Batch10_100_d005/DS_100_10_batch0.xml;119ea8b7;10;45,0;45,0;24;100;0,04938271604938271;2;6,274;70;1282,2291565299204;5207,223021595228;4,993865065307773;5128,9166261196815;77;0,03802469135802469;2;3,59;68;1289,0104371729817;5098,9880806410665;55,977643468085034;2449,119830628665;-2,684;-0,42779725852725536;-2,0;-0,02857142857142857;0,7371541501976284;0,75;75,0;75,0;25,0;25,0
08/01/2018 15.53.25;08/01/2018;output/Batch10_100_d005/DS_100_10_batch1.xml;f376b858;10;45,0;45,0;24;100;0,04938271604938271;2;5,782;70;1247,4896628638085;5269,489662863809;0,0;4989,958651455234;91;0,044938271604938275;2;5,051;68;1242,888432835469;5200,888432835469;0,0;4101,531828357048;-0,7309999999999999;-0,12642684192320994;-2,0;-0,02857142857142857;0,8281318681318681;0,77;77,0;77,0;23,0;23,0
08/01/2018 15.53.36;08/01/2018;output/Batch10_100_d005/DS_100_10_batch2.xml;95f9476a;10;45,0;45,0;24;100;0,04938271604938271;2;5,827;69;1121,9896758323407;5178,801502780769;2,8118269484276652;4600,1576709125975;54;0,02666666666666667;2;2,456;54;1014,9153254892968;4357,501388620962;126,58606313166456;1014,9153254892968;-3,371;-0,5785138149991419;-15,0;-0,21739130434782608;0,7037439613526569;0,65;65,0;65,0;35,0;35,0
08/01/2018 15.53.45;08/01/2018;output/Batch10_100_d005/DS_100_10_batch3.xml;f5490d90;10;45,0;45,0;24;100;0,04938271604938271;2;5,981;71;1250,8141969166522;5244,261557282288;24,44736036563654;4878,175367974944;83;0,04098765432098765;2;4,101;69;1326,8545602861707;5206,17742403911;81,32286375293972;3184,4509446868096;-1,88;-0,3143287075739843;-2,0;-0,028169014084507043;0,6712260807937633;0,7;70,0;70,0;30,0;30,0
08/01/2018 15.53.55;08/01/2018;output/Batch10_100_d005/DS_100_10_batch4.xml;fb954a1;10;45,0;45,0;24;100;0,04938271604938271;2;6,239;69;1204,6460466007945;5208,189681768865;21,54363516807075;4939,048791063258;88;0,04345679012345679;2;4,857;69;1214,185578252492;5171,000351251851;12,814772999358524;3521,138176932227;-1,3819999999999997;-0,22150985734893408;0,0;0,0;0,6371969696969697;0,69;69,0;69,0;31,0;31,0
